timeSec,event,taskId,type,src,dstMaster,bytesArrived,masterBufferBytes,masterArrivedBytes,totalMasterArrivedBytes
473.882,SENSOR_TO_MASTER_RX,103,SENSOR_TO_UAV,Sensor_46,UAV_0,1024,23412,23412,140856
473.884,SENSOR_TO_MASTER_RX,103,SENSOR_TO_UAV,Sensor_46,UAV_0,1024,24436,24436,141880
473.888,SENSOR_TO_MASTER_RX,103,SENSOR_TO_UAV,Sensor_46,UAV_0,1024,25460,25460,142904
473.893,SENSOR_TO_MASTER_RX,103,SENSOR_TO_UAV,Sensor_46,UAV_0,1024,26484,26484,143928
473.898,SENSOR_TO_MASTER_RX,103,SENSOR_TO_UAV,Sensor_46,UAV_0,657,27141,27141,144585
476.538,SLAVE_TO_MASTER_RX,104,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,28165,28165,145609
476.543,SLAVE_TO_MASTER_RX,104,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,29189,29189,146633
476.548,SLAVE_TO_MASTER_RX,104,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,30213,30213,147657
476.553,SLAVE_TO_MASTER_RX,104,SLAVE_TO_MASTER,UAV_1,UAV_0,1024,31237,31237,148681
476.558,SLAVE_TO_MASTER_RX,104,SLAVE_TO_MASTER,UAV_1,UAV_0,937,32174,32174,149618
