event_id,flow_id,sensor_id,cluster_id,grid_id,batch_id,src,dst,src_role,dst_role,link_type,start_time_sec,end_time_sec,payload_bytes,distance_m,rate_bps,deadline_sec,success_by_deadline
69,S98,98,36,36_3,5,S_98,UAV_1,SENSOR,MASTER,access,272.2713033999778,273.0411080416114,1013,58.71379159217221,1315918.280059098,3600.0,True
70,S98,98,36,36_3,5,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0066469816273,1013,,152400000.0,3600.0,True
71,S382,382,36,36_3,5,S_382,UAV_1,SENSOR,MASTER,access,273.0411080416114,274.1012042657761,1395,58.71379159217221,1315918.280059098,2040.0,True
72,S382,382,36,36_3,5,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0091535433071,1395,,152400000.0,2040.0,True
73,S179,179,36,36_2,5,S_179,UAV_2,SENSOR,SLAVE,access,279.0256386609048,280.05601894923456,1435,52.734018179634745,1392689.6857917495,2100.0,True
74,S179,179,36,36_2,5,UAV_2,UAV_1,SLAVE,MASTER,relay,280.05601894923456,280.23670255021466,1435,101.85072658905013,7942060.0,2100.0,True
75,S179,179,36,36_2,5,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0094160104987,1435,,152400000.0,2100.0,True
76,S280,280,36,36_2,5,S_280,UAV_2,SENSOR,SLAVE,access,280.23670255021466,281.3065747659717,1490,52.734018179634745,1392689.6857917495,2040.0,True
77,S280,280,36,36_2,5,UAV_2,UAV_1,SLAVE,MASTER,relay,281.3065747659717,281.49418352239,1490,101.85072658905013,7942060.0,2040.0,True
78,S280,280,36,36_2,5,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.00977690288715,1490,,152400000.0,2040.0,True
79,S160,160,36,36_1,5,S_160,UAV_3,SENSOR,SLAVE,access,282.2153747998833,282.5234983569623,412,56.9956647017255,1337125.9370940356,1980.0,True
80,S160,160,36,36_1,5,UAV_3,UAV_1,SLAVE,MASTER,relay,282.5234983569623,282.57537406679074,412,152.1654275994008,7942060.0,1980.0,True
81,S160,160,36,36_1,5,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0027034120735,412,,152400000.0,1980.0,True
82,S258,258,36,36_1,5,S_258,UAV_3,SENSOR,SLAVE,access,282.57537406679074,283.5909314969012,1325,59.64384839811927,1304702.1869121958,1920.0,True
83,S258,258,36,36_1,5,UAV_3,UAV_1,SLAVE,MASTER,relay,283.5909314969012,283.75776478700476,1325,152.1654275994008,7942060.0,1920.0,True
84,S258,258,36,36_1,5,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0086942257218,1325,,152400000.0,1920.0,True
85,S222,222,36,36_1,5,S_222,UAV_3,SENSOR,SLAVE,access,283.75776478700476,285.0369748682404,1745,54.88273820529091,1364123.0831408305,1920.0,True
86,S222,222,36,36_1,5,UAV_3,UAV_1,SLAVE,MASTER,relay,285.0369748682404,285.2566911635089,1745,152.1654275994008,7942060.0,1920.0,True
87,S222,222,36,36_1,5,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0114501312336,1745,,152400000.0,1920.0,True
88,S283,283,36,36_10,6,S_283,UAV_0,SENSOR,SLAVE,access,290.7389928354383,291.6762279032505,1341,50.0,1430804.3371982595,4080.0,True
89,S283,283,36,36_10,6,UAV_0,UAV_1,SLAVE,MASTER,relay,291.6762279032505,291.845075784027,1341,151.57469200380854,7942060.0,4080.0,True
90,S283,283,36,36_10,6,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.00879921259843,1341,,152400000.0,4080.0,True
91,S369,369,36,36_11,6,S_369,UAV_1,SENSOR,MASTER,access,301.1517457416676,301.77377348988,890,50.0,1430804.3371982595,4140.0,True
92,S369,369,36,36_11,6,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.00583989501314,890,,152400000.0,4140.0,True
93,S366,366,36,36_5,6,S_366,UAV_2,SENSOR,SLAVE,access,317.73320497252513,318.5145836494931,1118,50.0,1430804.3371982595,3300.0,True
94,S366,366,36,36_5,6,UAV_2,UAV_1,SLAVE,MASTER,relay,318.5145836494931,318.6553531727654,1118,199.4038908919486,7942060.0,3300.0,True
95,S366,366,36,36_5,6,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0073359580052,1118,,152400000.0,3300.0,True
96,S12,12,36,36_13,7,S_12,UAV_0,SENSOR,SLAVE,access,358.5504592827561,359.1452296352603,851,50.0,1430804.3371982595,4320.0,True
97,S12,12,36,36_13,7,UAV_0,UAV_3,SLAVE,MASTER,relay,359.1452296352603,359.2523806766778,851,218.61643330884084,7942060.0,4320.0,True
98,S12,12,36,36_13,7,UAV_3,SAT_0,MASTER,SATELLITE,satellite,359.2523806766778,359.2579646661791,851,,152400000.0,4320.0,True
99,S296,296,36,36_4,7,S_296,UAV_3,SENSOR,MASTER,access,342.6674673887204,343.37336404680417,1010,50.0,1430804.3371982595,3240.0,True
100,S296,296,36,36_4,7,UAV_3,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0066272965879,1010,,152400000.0,3240.0,True
101,S95,95,36,36_12,8,S_95,UAV_1,SENSOR,MASTER,access,355.2297645238298,355.776310253158,782,50.0,1430804.3371982595,4320.0,True
102,S95,95,36,36_12,8,UAV_1,SAT_0,MASTER,SATELLITE,satellite,355.776310253158,355.7814414867538,782,,152400000.0,4320.0,True
103,S444,444,36,36_9,9,S_444,UAV_3,SENSOR,MASTER,access,371.89515348344446,372.5926632505411,998,50.0,1430804.3371982595,3900.0,True
104,S444,444,36,36_9,9,UAV_3,SAT_0,MASTER,SATELLITE,satellite,372.5926632505411,372.59921180697154,998,,152400000.0,3900.0,True
105,S172,172,36,36_8,10,S_172,UAV_1,SENSOR,MASTER,access,392.05409178245526,392.75230045713414,999,50.0,1430804.3371982595,3840.0,True
106,S172,172,36,36_8,10,UAV_1,SAT_0,MASTER,SATELLITE,satellite,392.75230045713414,392.75885557524435,999,,152400000.0,3840.0,True
107,S56,56,36,36_7,11,S_56,UAV_2,SENSOR,MASTER,access,394.0428844565192,394.8808746476503,1199,50.0,1430804.3371982595,3480.0,True
108,S56,56,36,36_7,11,UAV_2,SAT_0,MASTER,SATELLITE,satellite,394.8808746476503,394.8887421017185,1199,,152400000.0,3480.0,True
109,S288,288,38,38_2,12,S_288,UAV_0,SENSOR,MASTER,access,581.1470610895128,582.0696441947878,1160,63.74143560447886,1257339.304576098,1440.0,True
110,S288,288,38,38_2,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,582.0696441947878,582.0713721852541,1160,,671300000.0,1440.0,True
111,S270,270,38,38_2,12,S_270,UAV_0,SENSOR,MASTER,access,582.0696441947878,583.278307603099,1435,70.34502605656196,1187261.887910539,1320.0,True
112,S270,270,38,38_2,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,583.278307603099,583.2804452464776,1435,,671300000.0,1320.0,True
113,S66,66,38,38_2,12,S_66,UAV_0,SENSOR,MASTER,access,583.278307603099,584.750559372489,1730,71.56450857609099,1175070.7562178392,1380.0,True
114,S66,66,38,38_2,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,584.750559372489,584.7531364617188,1730,,671300000.0,1380.0,True
115,S33,33,38,38_1,12,S_33,UAV_1,SENSOR,SLAVE,access,580.9879743843247,582.0552353134825,1500,51.800910247272704,1405466.9847080135,1320.0,True
116,S33,33,38,38_1,12,UAV_1,UAV_0,SLAVE,MASTER,relay,582.0552353134825,582.2441031890714,1500,118.30566041539987,7942060.0,1320.0,True
117,S33,33,38,38_1,12,UAV_0,SAT_0,MASTER,SATELLITE,satellite,582.2441031890714,582.2463376595019,1500,,671300000.0,1320.0,True
118,S356,356,38,38_1,12,S_356,UAV_1,SENSOR,SLAVE,access,582.2441031890714,583.4821258668944,1740,51.80091024727265,1405466.9847080144,1440.0,True
119,S356,356,38,38_1,12,UAV_1,UAV_0,SLAVE,MASTER,relay,583.4821258668944,583.7012126025776,1740,118.30566041539987,7942060.0,1440.0,True
